Code;Parent Code;Description;;;;
1;;World;World;;;
2;1;Africa;Continents;;;
14;2;Eastern Africa;Regions;;;
17;2;Middle Africa;Regions;;;
15;2;Northern Africa;Regions;;;
18;2;Southern Africa;Regions;;;
11;2;Western Africa;Regions;;;
419;1;Latin America and the Caribbean;Continents;;;
29;419;Caribbean;Regions;;;
13;419;Central America;Regions;;;
5;419;South America;Regions;;;
21;1;Northern America;Continents;;;
21;21;Northern America;Regions;;;
142;1;Asia;Continents;;;
143;142;Central Asia;Regions;;;
30;142;Eastern Asia;Regions;;;
34;142;Southern Asia;Regions;;;
35;142;South-Eastern Asia;Regions;;;
145;142;Western Asia;Regions;;;
150;1;Europe;Continents;;;
151;150;Eastern Europe;Regions;;;
154;150;Northern Europe;Regions;;;
39;150;Southern Europe;Regions;;;
155;150;Western Europe;Regions;;;
9;1;Oceania;Continents;;;
53;9;Australia and New Zealand;Regions;;;
54;9;Melanesia;Regions;;;
57;9;Micronesia;Regions;;;
61;9;Polynesia;Regions;;;
