Code;Parent Code;Description;
1;;Selected Economic and other groupings;All
2;1;Economic groupings;Groups
201;2;Least developed countries;Group Items
202;2;Landlocked developing countries;Group Items
203;2;Small island developing states;Group Items
204;2;Transition countries;Group Items
205;2;Developed countries;Group Items
3;1;Unions groupings;Groups
301;3;Commonwealth of Independent States;Group Items
302;3;Transition countries of South-Eastern Europe;Group Items
303;3;European Union;Group Items
